epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.796,1.76628,3.45946,1.20453,0.4211,0.13476,0.13588,0.08577,2.13054,3.68473,1.10301,0.000302244,0.000302244,0.000302244
2,568.339,1.73765,1.89039,1.16802,0.41747,0.13381,0.12942,0.07209,1.82853,3.41018,0.89524,0.000593261,0.000593261,0.000593261
3,855.814,1.75828,1.90307,1.16111,0.2778,0.13429,0.13578,0.08561,1.85563,3.59682,0.89264,0.000872278,0.000872278,0.000872278
4,1144.25,1.69408,1.83786,1.13996,0.56324,0.13575,0.13579,0.08263,2.07811,4.20288,1.00742,0.000855005,0.000855005,0.000855005
5,1432.23,1.63994,1.7577,1.11776,0.70503,0.13591,0.13576,0.08258,2.01132,4.59623,0.98685,0.000837007,0.000837007,0.000837007
6,1717.86,1.579,1.62051,1.09581,0.84821,0.13574,0.13218,0.08399,2.20592,4.26026,0.90223,0.000819009,0.000819009,0.000819009
7,2002.34,1.56016,1.61394,1.09217,0.70472,0.13511,0.13077,0.08242,1.84713,3.70253,0.89595,0.000801011,0.000801011,0.000801011
8,2286.88,1.4754,1.4679,1.05519,0.70495,0.13639,0.13539,0.08116,1.9516,3.9784,0.88642,0.000783013,0.000783013,0.000783013
9,2571.88,1.45966,1.45779,1.05447,0.70381,0.13623,0.13342,0.0847,2.00313,4.80853,0.88692,0.000765014,0.000765014,0.000765014
10,2858.91,1.44794,1.41202,1.04952,0.70689,0.13607,0.13694,0.08808,1.9232,5.1889,0.92544,0.000747016,0.000747016,0.000747016
11,3143.95,1.40107,1.36875,1.03824,0.84817,0.13559,0.13577,0.09051,2.06893,3.83368,0.90952,0.000729018,0.000729018,0.000729018
12,3431.54,1.39802,1.35264,1.03116,0.70465,0.13769,0.13092,0.08565,2.19114,4.21816,0.94367,0.00071102,0.00071102,0.00071102
13,3714.83,1.36411,1.29387,1.02009,0.70523,0.13655,0.13706,0.09263,2.0719,3.69238,0.91866,0.000693022,0.000693022,0.000693022
14,4001.92,1.3857,1.32199,1.02448,0.70344,0.13559,0.13128,0.0826,2.46211,5.09602,1.18504,0.000675023,0.000675023,0.000675023
15,4286.99,1.38507,1.29764,1.02205,0.70455,0.13697,0.13546,0.08836,2.21192,4.18703,0.992,0.000657025,0.000657025,0.000657025
16,4571.81,1.31174,1.23884,0.99574,0.84709,0.13736,0.13015,0.08536,2.30768,4.11667,1.03352,0.000639027,0.000639027,0.000639027
17,4856.08,1.31921,1.22691,0.99846,0.70406,0.13639,0.1327,0.08675,2.3506,4.299,1.02647,0.000621029,0.000621029,0.000621029
18,5140.23,1.29856,1.21465,0.99417,0.84715,0.13749,0.13441,0.08587,2.4174,4.2878,1.05966,0.000603031,0.000603031,0.000603031
19,5425.35,1.31215,1.21396,0.99275,0.84607,0.13655,0.131,0.08584,2.54911,4.46675,1.15704,0.000585032,0.000585032,0.000585032
20,5707.71,1.25486,1.15649,0.97733,0.99071,0.13477,0.13443,0.08488,2.38309,4.44872,1.1008,0.000567034,0.000567034,0.000567034
21,5991.91,1.29736,1.19075,0.98836,0.7047,0.137,0.13622,0.08904,2.42336,4.31307,1.1303,0.000549036,0.000549036,0.000549036
22,6276.86,1.23714,1.13276,0.97533,0.99088,0.13639,0.13716,0.09096,2.32465,4.27949,1.0956,0.000531038,0.000531038,0.000531038
23,6563.59,1.24097,1.11958,0.96994,0.84768,0.13688,0.1306,0.08068,2.44795,4.83074,1.15316,0.00051304,0.00051304,0.00051304
24,6848.12,1.18682,1.07236,0.95616,0.99005,0.13655,0.13269,0.08512,2.40038,4.48594,1.14195,0.000495041,0.000495041,0.000495041
25,7130.5,1.22264,1.08839,0.96453,0.84676,0.13655,0.13401,0.09055,2.30884,4.09194,0.99329,0.000477043,0.000477043,0.000477043
26,7414.17,1.19342,1.05861,0.95605,0.70458,0.13833,0.13546,0.08623,2.52742,4.46148,1.16573,0.000459045,0.000459045,0.000459045
27,7696.96,1.1843,1.05261,0.9524,0.99154,0.13639,0.13568,0.09054,2.32887,4.31594,1.11662,0.000441047,0.000441047,0.000441047
28,7981.07,1.20453,1.04719,0.95196,0.84887,0.13667,0.13699,0.0927,2.4575,4.83014,1.06385,0.000423049,0.000423049,0.000423049
29,8263.49,1.17623,1.02063,0.94589,0.84925,0.13688,0.1363,0.09019,2.29621,4.42436,1.02518,0.00040505,0.00040505,0.00040505
30,8544.36,1.15775,1.01107,0.94457,0.99107,0.13569,0.13642,0.09053,2.47874,4.50746,1.09774,0.000387052,0.000387052,0.000387052
31,8827.52,1.15625,0.99741,0.93828,0.99187,0.13653,0.13737,0.09257,2.41593,4.50455,1.08899,0.000369054,0.000369054,0.000369054
32,9111.07,1.14038,0.9692,0.93571,0.70486,0.13704,0.13703,0.09171,2.46951,4.45631,1.11914,0.000351056,0.000351056,0.000351056
33,9393.97,1.12311,0.95819,0.9295,0.70567,0.13601,0.13774,0.09248,2.43925,4.47524,1.09288,0.000333058,0.000333058,0.000333058
34,9676.18,1.09774,0.92928,0.92655,0.84881,0.13567,0.1373,0.09199,2.52418,4.50784,1.17493,0.000315059,0.000315059,0.000315059
35,9959.04,1.11486,0.93012,0.93221,0.99232,0.13542,0.13719,0.09206,2.52718,4.70687,1.15257,0.000297061,0.000297061,0.000297061
36,10240,1.10745,0.93601,0.92709,0.70574,0.13607,0.13611,0.08955,2.30827,4.4171,1.03876,0.000279063,0.000279063,0.000279063
37,10521,1.08484,0.90572,0.92024,0.70598,0.13607,0.13736,0.09224,2.35487,4.38475,1.08035,0.000261065,0.000261065,0.000261065
38,10802.7,1.05414,0.87105,0.91277,0.84954,0.13517,0.13644,0.08754,2.32383,4.33557,1.0788,0.000243067,0.000243067,0.000243067
39,11084.4,1.07365,0.89045,0.91503,0.84849,0.13533,0.13627,0.09166,2.36645,4.37437,1.09455,0.000225068,0.000225068,0.000225068
40,11365.3,1.05784,0.87421,0.91364,0.84899,0.13617,0.13666,0.0904,2.42288,4.50541,1.12305,0.00020707,0.00020707,0.00020707
41,11648.7,1.07751,0.93063,0.93674,0.84928,0.13589,0.13737,0.09198,2.49024,4.47749,1.15822,0.000189072,0.000189072,0.000189072
42,11931.6,1.05854,0.90294,0.92348,0.84873,0.13639,0.13597,0.0908,2.5735,4.57714,1.18608,0.000171074,0.000171074,0.000171074
43,12212.6,1.05002,0.88689,0.92582,0.84855,0.13629,0.1369,0.09174,2.40451,4.39767,1.12248,0.000153076,0.000153076,0.000153076
44,12494,1.01902,0.85167,0.90945,0.99213,0.13639,0.13792,0.0945,2.41739,4.31886,1.07161,0.000135077,0.000135077,0.000135077
45,12774.9,1.00927,0.83726,0.91508,0.99244,0.13623,0.13828,0.09237,2.45574,4.17659,1.12375,0.000117079,0.000117079,0.000117079
46,13053.8,0.9897,0.8226,0.90933,0.99244,0.13639,0.13861,0.09352,2.22017,3.90355,1.0219,9.9081e-05,9.9081e-05,9.9081e-05
47,13333.1,0.98851,0.81359,0.90891,0.99169,0.13603,0.13807,0.09374,2.17934,3.95211,0.99621,8.10828e-05,8.10828e-05,8.10828e-05
48,13612.5,0.98736,0.79949,0.90552,0.99168,0.13586,0.13782,0.09363,2.2165,3.99183,0.97953,6.30846e-05,6.30846e-05,6.30846e-05
49,13891.6,0.96676,0.7696,0.89753,0.99152,0.13571,0.13763,0.09288,2.0796,3.80977,0.94757,4.50864e-05,4.50864e-05,4.50864e-05
50,14170.4,0.95646,0.76923,0.90086,0.84882,0.13591,0.13755,0.09314,2.0713,3.78837,0.93626,2.70882e-05,2.70882e-05,2.70882e-05
